peptide_id,SVM_pred,SVM_prob_AMP,SVM_confidence,SVM_hyperplane_distance,SVM_distance,SVM_score_z,ESM-only_pred,ESM-only_prob_AMP,ESM-only_confidence,ESM-only_logit_AMP,ESM-only_logit_nonAMP,ESM-only_logit_margin,ESM-only_score_z,ESM+Geo20_pred,ESM+Geo20_prob_AMP,ESM+Geo20_confidence,ESM+Geo20_logit_AMP,ESM+Geo20_logit_nonAMP,ESM+Geo20_logit_margin,ESM+Geo20_score_z,ESM+QSAR12_pred,ESM+QSAR12_prob_AMP,ESM+QSAR12_confidence,ESM+QSAR12_logit_AMP,ESM+QSAR12_logit_nonAMP,ESM+QSAR12_logit_margin,ESM+QSAR12_score_z,ESM+Combined32_pred,ESM+Combined32_prob_AMP,ESM+Combined32_confidence,ESM+Combined32_logit_AMP,ESM+Combined32_logit_nonAMP,ESM+Combined32_logit_margin,ESM+Combined32_score_z
SEQ_1,1,0.90634229761212,0.90634229761212,1.394505421961771,1.394505421961771,0.9344502124535211,0,0.49646055698394775,0.5035394430160522,0.10985061526298523,0.18064060807228088,-0.07078999280929565,-1.475839902483485,1,0.5200244784355164,0.5200244784355164,-0.9871702790260315,-1.3878741264343262,0.4007038474082947,-1.2526534046517654,1,0.5274496674537659,0.5274496674537659,1.052274465560913,0.5027288198471069,0.5495456457138062,-1.3727791263933398,1,0.5156543850898743,0.5156543850898743,-0.7278356552124023,-1.0410264730453491,0.3131908178329468,-1.4451282570644313
SEQ_10,1,0.598980399128956,0.598980399128956,0.2902452204543924,0.2902452204543924,-0.015525782364722294,0,0.4386165142059326,0.5613834857940674,-0.22341811656951904,1.010475754737854,-1.233893871307373,-1.9459838782321452,0,0.44749724864959717,0.5525027513504028,-0.5891427993774414,0.4647972583770752,-1.0539400577545166,-1.886146272487108,0,0.42088526487350464,0.5791147351264954,-0.48050686717033386,1.1151951551437378,-1.595702052116394,-2.292854005432945,0,0.481062650680542,0.518937349319458,-0.2359377145767212,0.14299066364765167,-0.37892836332321167,-1.744052647664547
SEQ_100,1,0.8090948359521625,0.8090948359521625,0.9078853230023348,0.9078853230023348,0.5158193390628952,1,0.62491774559021,0.62491774559021,1.6765775680541992,-0.8757946491241455,2.5523722171783447,-0.4155185217055688,1,0.6301993727684021,0.6301993727684021,0.1941860318183899,-2.4711759090423584,2.6653618812561035,-0.2664019190223499,1,0.6050024032592773,0.6050024032592773,2.2791616916656494,0.1473982334136963,2.131763458251953,-0.6941820282783931,1,0.6578720211982727,0.6578720211982727,-0.25362884998321533,-3.5227572917938232,3.2691283226013184,-0.1684668939320161
SEQ_1000,1,0.541907493965199,0.541907493965199,0.15452697646454272,0.15452697646454272,-0.1322818455400925,1,0.5268895030021667,0.5268895030021667,0.23659494519233704,-0.30171462893486023,0.5383095741271973,-1.2296327516689816,1,0.5978080034255981,0.5978080034255981,-0.22423532605171204,-2.2059359550476074,1.9817006587982178,-0.5641342416241403,1,0.6064951419830322,0.6064951419830322,1.8374309539794922,-0.3255857229232788,2.1630167961120605,-0.680777790119645,1,0.5001932382583618,0.5001932382583618,-0.5964629054069519,-0.600327730178833,0.0038648247718811035,-1.5787253115747475
SEQ_1001,1,0.7612909095690809,0.7612909095690809,0.7401330807420113,0.7401330807420113,0.3715049799954351,1,0.6183671355247498,0.6183671355247498,2.036534070968628,-0.3765828013420105,2.413116931915283,-0.471807589834317,1,0.695950984954834,0.695950984954834,1.2654612064361572,-2.8749899864196777,4.140451431274414,0.3759949631551171,1,0.7353454828262329,0.7353454828262329,2.761090040206909,-2.3484866619110107,5.10957670211792,0.5829717302007238,1,0.6418085098266602,0.6418085098266602,0.7586530447006226,-2.1574580669403076,2.9161109924316406,-0.320934118024801
SEQ_1002,0,0.3513427313944853,0.6486572686055148,-0.3127270985878136,-0.3127270985878136,-0.5342524627685487,0,0.4493904113769531,0.5506095886230469,-1.2330660820007324,-0.21739639341831207,-1.0156697034835815,-1.8577744072108604,0,0.47711995244026184,0.5228800773620605,-1.164918065071106,-0.7069975733757019,-0.45792049169540405,-1.6265816169389837,0,0.49490708112716675,0.5050929188728333,0.8197667002677917,0.9216289520263672,-0.10186225175857544,-1.6521613362325804,0,0.4565800428390503,0.5434199571609497,-0.5896157622337341,0.2809756398200989,-0.870591402053833,-1.9564005759326877
SEQ_1003,1,0.48464445955080965,0.5153555404491903,0.019102523555545536,0.019102523555545536,-0.2487851653186432,1,0.5248478651046753,0.5248478651046753,-0.17504405975341797,-0.6724114418029785,0.49736738204956055,-1.2461821977804513,1,0.5233639478683472,0.5233639478683472,-0.8717473149299622,-1.339367389678955,0.4676200747489929,-1.2235115970847539,1,0.5423987507820129,0.5423987507820129,0.9076484441757202,0.05763202905654907,0.8500164151191711,-1.2439102749804247,0,0.485723078250885,0.514276921749115,-0.30247437953948975,-0.016858503222465515,-0.28561586141586304,-1.7037512320594608
SEQ_1004,1,0.48464445955080965,0.5153555404491903,0.019102523555545536,0.019102523555545536,-0.2487851653186432,0,0.49834349751472473,0.5016565322875977,-0.23040249943733215,-0.1972724199295044,-0.03313007950782776,-1.4606172025224415,1,0.5497032403945923,0.5497032403945923,-0.5335635542869568,-1.530922770500183,0.9973592162132263,-0.992811858997824,1,0.5716969966888428,0.5716969966888428,1.5521024465560913,0.10821071267127991,1.4438917636871338,-0.9892031891502268,1,0.5022286772727966,0.5022286772727966,-0.499439001083374,-0.5440126657485962,0.04457366466522217,-1.5611432744220897
SEQ_1005,1,0.48464445955080965,0.5153555404491903,0.019102523555545536,0.019102523555545536,-0.2487851653186432,1,0.5481798648834229,0.5481798648834229,0.5887114405632019,-0.37788522243499756,0.9665966629981995,-1.0565127075817367,1,0.5951277613639832,0.5951277613639832,0.016668684780597687,-1.909353494644165,1.9260221719741821,-0.5883820483689414,1,0.618131697177887,0.618131697177887,1.7253684997558594,-0.6827602386474609,2.4081287384033203,-0.5756517755885976,1,0.5502946972846985,0.5502946972846985,-0.01498759537935257,-1.0242948532104492,1.0093072652816772,-1.144477458031916
SEQ_1006,1,0.6686278385743327,0.6686278385743327,0.46986242942406775,0.46986242942406775,0.13899580280562177,1,0.5760449767112732,0.5760449767112732,1.0080702304840088,-0.5247214436531067,1.5327916145324707,-0.8276482437241498,1,0.6031137108802795,0.6031137108802795,0.06789252907037735,-2.0243875980377197,2.092280149459839,-0.5159772195417074,1,0.6257642507553101,0.6257642507553101,1.689103603363037,-0.881334662437439,2.5704383850097656,-0.5060388219798221,1,0.5612595081329346,0.5612595081329346,0.13579490780830383,-1.0955811738967896,1.231376051902771,-1.0485665534950277
