peptide_id,SVM_pred,SVM_prob_AMP,SVM_confidence,SVM_hyperplane_distance,SVM_distance,SVM_score_z
SEQ_1,1,0.9598090464486547,0.9598090464486547,1.9283607235802225,1.9283607235802225,1.4571804976132274
SEQ_10,1,0.9446681749390075,0.9446681749390075,1.7299497860657254,1.7299497860657254,1.2881738756881316
SEQ_100,0,0.025546383529420447,0.9744536164705796,-2.1080893006610695,-2.1080893006610695,-1.9810714037802992
SEQ_101,1,0.5871878244620492,0.5871878244620492,0.2622038981854523,0.2622038981854523,0.037946557262348246
SEQ_102,1,0.8203115829381994,0.8203115829381994,0.9516920197810973,0.9516920197810973,0.6252531833390756
SEQ_103,0,0.33132209406505125,0.6686779059349488,-0.36850626637682204,-0.36850626637682204,-0.499292950104542
SEQ_104,0,0.14074915975927602,0.859250840240724,-1.012777005709676,-1.012777005709676,-1.0480833677289423
SEQ_105,0,0.33132209406505125,0.6686779059349488,-0.36850626637682204,-0.36850626637682204,-0.499292950104542
SEQ_106,0,0.33132209406505125,0.6686779059349488,-0.36850626637682204,-0.36850626637682204,-0.499292950104542
SEQ_107,1,0.5781415736004274,0.5781415736004274,0.24067398460591272,0.24067398460591272,0.019607356762620907
SEQ_108,1,0.8102303645093617,0.8102303645093617,0.9122291258411429,0.9122291258411429,0.5916386534158313
SEQ_109,1,0.8107276071701747,0.8107276071701747,0.9141374741714877,0.9141374741714877,0.5932641863063476
SEQ_11,0,0.07252253821671187,0.9274774617832882,-1.4494011470713137,-1.4494011470713137,-1.4200002192235035
SEQ_110,1,0.7968805340542345,0.7968805340542345,0.8623479650910774,0.8623479650910774,0.5491498340912652
SEQ_111,1,0.9521774549761843,0.9521774549761843,1.8208602692150508,1.8208602692150508,1.3656115101608945
SEQ_112,1,0.492000788163692,0.5079992118363079,0.03648718582348576,0.03648718582348576,-0.1543191491861543
SEQ_113,1,0.7684248806632089,0.7684248806632089,0.7635450687342619,0.7635450687342619,0.4649894346754786
SEQ_114,1,0.9026819503841271,0.9026819503841271,1.3694905848381542,1.3694905848381542,0.9811343913510397
SEQ_115,1,0.9258923833037475,0.9258923833037475,1.545385152400787,1.545385152400787,1.1309615483169406
SEQ_116,0,0.16407806501111438,0.8359219349888856,-0.9059728512167091,-0.9059728512167091,-0.9571074891582182
SEQ_117,1,0.8909754118782051,0.8909754118782051,1.2947820092043867,1.2947820092043867,0.9174975568354222
SEQ_118,1,0.9404045263275029,0.9404045263275029,1.6833906559412384,1.6833906559412384,1.2485147651537865
SEQ_119,1,0.9258923833037475,0.9258923833037475,1.545385152400787,1.545385152400787,1.1309615483169406
SEQ_12,1,0.5278402715014072,0.5278402715014072,0.12118947686846782,0.12118947686846782,-0.08216965854739981
SEQ_120,1,0.8213955488055538,0.8213955488055538,0.956036074046373,0.956036074046373,0.6289534528203381
SEQ_121,0,0.024612843308073087,0.9753871566919269,-2.1301984550948156,-2.1301984550948156,-1.9999040021807513
SEQ_122,1,0.9509822549052672,0.9509822549052672,1.8055234220900829,1.8055234220900829,1.3525475694525702
SEQ_123,1,0.9509822549052672,0.9509822549052672,1.8055234220900829,1.8055234220900829,1.3525475694525702
SEQ_124,0,0.059642977393236395,0.9403570226067636,-1.5998301547343652,-1.5998301547343652,-1.5481357884776887
SEQ_125,1,0.9484292923625424,0.9484292923625424,1.7739171114123136,1.7739171114123136,1.3256252844914673
SEQ_126,1,0.7690587561198605,0.7690587561198605,0.7656492841659345,0.7656492841659345,0.4667818073458797
SEQ_127,0,0.1528369618953186,0.8471630381046814,-0.9557639246981487,-0.9557639246981487,-0.9995195720632116
SEQ_128,0,0.15615474477144325,0.8438452552285567,-0.9407668539596864,-0.9407668539596864,-0.9867450531983227
SEQ_129,0,0.2749456298818151,0.7250543701181849,-0.5171542526394506,-0.5171542526394506,-0.6259114436660641
SEQ_13,0,0.0636492904938417,0.9363507095061583,-1.5320810280643915,-1.5320810280643915,-1.490427019090764
SEQ_130,1,0.7474638361484071,0.7474638361484071,0.6960758774280477,0.6960758774280477,0.4075191144929122
SEQ_131,0,0.47147305364616,0.52852694635384,-0.012077839507659505,-0.012077839507659505,-0.19568688313138533
SEQ_132,1,0.5233723730507329,0.5233723730507329,0.11061557974191338,0.11061557974191338,-0.09117651399765375
SEQ_133,1,0.5755101334006522,0.5755101334006522,0.23441035427483237,0.23441035427483237,0.014271990595288967
SEQ_134,1,0.5233723730507329,0.5233723730507329,0.11061557974191338,0.11061557974191338,-0.09117651399765375
SEQ_135,1,0.6717716781328065,0.6717716781328065,0.4782605809918462,0.4782605809918462,0.22198384151127004
SEQ_136,1,0.7474638361484071,0.7474638361484071,0.6960758774280477,0.6960758774280477,0.4075191144929122
SEQ_137,1,0.5818640741721874,0.5818640741721874,0.249534391940602,0.249534391940602,0.0271546600074673
SEQ_138,1,0.5818640741721874,0.5818640741721874,0.249534391940602,0.249534391940602,0.0271546600074673
SEQ_139,1,0.6459460785055214,0.6459460785055214,0.40104073247277106,0.40104073247277106,0.15620790240598284
SEQ_14,0,0.026989704260647344,0.9730102957393526,-2.075431228463698,-2.075431228463698,-1.9532532273742718
SEQ_140,1,0.8202958012419765,0.8202958012419765,0.9516289241746198,0.9516289241746198,0.6251994384425359
SEQ_141,0,0.14076337390357613,0.8592366260964239,-1.0127076131684327,-1.0127076131684327,-1.0480242590974864
SEQ_142,0,0.13842762526669042,0.8615723747333096,-1.0241901250834347,-1.0241901250834347,-1.057805073473344
SEQ_143,1,0.7163197491121931,0.7163197491121931,0.6022927968193011,0.6022927968193011,0.3276345988207099
SEQ_144,1,0.9135834737254183,0.9135834737254183,1.4467103450302927,1.4467103450302927,1.0469102552193599
SEQ_145,0,0.24644557630547415,0.7535544236945259,-0.6045319981932697,-0.6045319981932697,-0.7003398889547848
SEQ_146,1,0.492000788163692,0.5079992118363079,0.03648718582348576,0.03648718582348576,-0.1543191491861543
SEQ_147,0,0.3627372381776688,0.6372627618223312,-0.281951926110962,-0.281951926110962,-0.4255658822093083
SEQ_148,1,0.492000788163692,0.5079992118363079,0.03648718582348576,0.03648718582348576,-0.1543191491861543
SEQ_149,1,0.9561549609447806,0.9561549609447806,1.8746622237335586,1.8746622237335586,1.4114400652801218
SEQ_15,0,0.1762094270309314,0.8237905729690687,-0.8552244403333632,-0.8552244403333632,-0.9138799453599616
SEQ_150,1,0.6145703963461243,0.6145703963461243,0.3272217799750733,0.3272217799750733,0.09332884970873197
SEQ_151,1,0.9492822735211015,0.9492822735211015,1.7843091428714453,1.7843091428714453,1.3344772265963165
SEQ_152,1,0.9461275021257536,0.9461275021257536,1.7466643090382603,1.7466643090382603,1.3024113219704019
SEQ_153,1,0.6145703963461243,0.6145703963461243,0.3272217799750733,0.3272217799750733,0.09332884970873197
SEQ_154,0,0.3486098172991667,0.6513901827008333,-0.3202096190888505,-0.3202096190888505,-0.458153820827198
SEQ_155,1,0.8656781138185521,0.8656781138185521,1.154822218806518,1.154822218806518,0.7982796766277853
SEQ_156,1,0.7103867580826317,0.7103867580826317,0.5851612933844234,0.5851612933844234,0.3130419681910838
SEQ_157,1,0.9648253208026571,0.9648253208026571,2.0102468988313413,2.0102468988313413,1.5269312181880283
SEQ_158,1,0.9415991334646221,0.9415991334646221,1.69611181751073,1.69611181751073,1.2593506624624518
SEQ_159,1,0.8157392273967567,0.8157392273967567,0.933588225970562,0.933588225970562,0.6098323548591766
SEQ_16,1,0.7957256028434813,0.7957256028434813,0.858148726548199,0.858148726548199,0.5455729187776238
SEQ_160,1,0.845435261104531,0.845435261104531,1.0581981773847207,1.0581981773847207,0.7159752278810758
SEQ_161,1,0.9310459274891052,0.9310459274891052,1.591259959486211,1.591259959486211,1.1700377518473355
SEQ_162,1,0.9310459274891052,0.9310459274891052,1.591259959486211,1.591259959486211,1.1700377518473355
SEQ_163,1,0.9378162525112617,0.9378162525112617,1.656629035558244,1.656629035558244,1.2257191919115542
SEQ_164,1,0.9378162525112617,0.9378162525112617,1.656629035558244,1.656629035558244,1.2257191919115542
SEQ_165,1,0.9329737600275277,0.9329737600275277,1.6092421721859491,1.6092421721859491,1.1853550174234797
SEQ_166,0,0.4331278013930486,0.5668721986069514,-0.10383042429273803,-0.10383042429273803,-0.27384182056415185
SEQ_167,1,0.8658320264436749,0.8658320264436749,1.1556023730820009,1.1556023730820009,0.7989442127684411
SEQ_168,1,0.9369377871229769,0.9369377871229769,1.64778263487994,1.64778263487994,1.2181838195497015
SEQ_169,1,0.7511925205871486,0.7511925205871486,0.7077941511121576,0.7077941511121576,0.41750075096393824
SEQ_17,1,0.9484132883655457,0.9484132883655457,1.7737236899444335,1.7737236899444335,1.3254605279044378
